"Timestamp","Please enter how many questions you answered correctly on the test (0 - 13)","What do you think the average score among all MDS students was (0 - 13)?"
"2020/10/14 2:43:11 AM MDT","3","5"
"2020/10/14 9:22:18 PM MDT","4","6"
"2020/10/14 9:58:48 PM MDT","4","5"
"2020/10/14 10:13:30 PM MDT","3","5"
"2020/10/14 11:52:55 PM MDT","3","7"
"2020/10/15 1:15:24 AM MDT","2","1"
"2020/10/15 1:32:28 AM MDT","2","2"
"2020/10/15 2:40:23 AM MDT","3","5"
"2020/10/15 11:32:32 AM MDT","3","5"
"2020/10/15 12:51:58 PM MDT","1","6.5"
"2020/10/15 1:56:21 PM MDT","2","3"
"2020/10/15 2:08:51 PM MDT","9","7"
"2020/10/15 2:27:27 PM MDT","2","6"
"2020/10/15 2:31:22 PM MDT","4","4"
"2020/10/15 2:36:59 PM MDT","3","5"
"2020/10/15 3:07:57 PM MDT","6","7"
"2020/10/15 3:13:27 PM MDT","8","8"
"2020/10/15 3:15:37 PM MDT","3","6"
"2020/10/15 3:20:00 PM MDT","9","9"
"2020/10/15 3:23:05 PM MDT","2","6"
"2020/10/15 3:24:44 PM MDT","3","5"
"2020/10/15 3:28:05 PM MDT","3","5"
"2020/10/15 3:30:47 PM MDT","3","5"
"2020/10/15 3:33:03 PM MDT","7","9"
"2020/10/15 3:38:21 PM MDT","8","6"
"2020/10/15 3:43:40 PM MDT","6","6"
"2020/10/15 3:52:01 PM MDT","5","7"
"2020/10/16 1:55:45 AM MDT","4","6"
"2020/10/16 2:04:34 AM MDT","5","6"
"2020/10/16 12:25:02 PM MDT","3","3"
"2020/10/16 1:03:17 PM MDT","8","8"
"2020/10/16 1:52:10 PM MDT","1","5"
"2020/10/16 2:06:09 PM MDT","5","7"
"2020/10/16 2:35:41 PM MDT","6","7"
"2020/10/16 3:07:06 PM MDT","5","5"
"2020/10/16 3:07:09 PM MDT","4","5"
"2020/10/16 3:19:50 PM MDT","4","8"
"2020/10/16 3:20:47 PM MDT","4","5"
"2020/10/16 3:21:09 PM MDT","4","4"
"2020/10/16 3:24:25 PM MDT","3","8"
"2020/10/16 3:25:10 PM MDT","5","5"
"2020/10/16 3:27:06 PM MDT","3","5"
"2020/10/16 3:33:58 PM MDT","1","4"
"2020/10/16 4:14:59 PM MDT","9","8"
"2020/10/16 4:18:29 PM MDT","1","5"
"2020/10/16 4:36:33 PM MDT","3","6"
"2020/10/16 4:40:03 PM MDT","4","5"
"2020/10/16 4:41:23 PM MDT","4","6"
"2020/10/16 7:30:49 PM MDT","5","5"
"2020/10/16 10:13:08 PM MDT","3","7"
"2020/10/16 10:19:15 PM MDT","5","4"
"2020/10/16 10:22:22 PM MDT","9","10"
"2020/10/16 10:29:29 PM MDT","4","5"
"2020/10/16 11:10:31 PM MDT","2","4"
"2020/10/16 11:40:29 PM MDT","2","3"
"2020/10/17 12:44:18 AM MDT","5","6"
"2020/10/17 1:42:14 AM MDT","4","8"
"2020/10/17 4:40:31 AM MDT","5","8"
"2020/10/17 4:43:27 AM MDT","2","3"
"2020/10/17 5:13:19 AM MDT","4","7"
"2020/10/17 5:26:29 AM MDT","8","8"
"2020/10/17 7:54:24 AM MDT","9","7"
"2020/10/17 4:48:00 PM MDT","1","5"
"2020/10/17 8:22:48 PM MDT","5","7"
"2020/10/17 11:11:44 PM MDT","4","5"
"2020/10/18 12:09:47 AM MDT","2","6"
"2020/10/18 12:27:33 AM MDT","5","6"
"2020/10/18 6:33:28 AM MDT","4","7"
"2020/10/18 2:10:52 PM MDT","2","3"
"2020/10/18 4:36:32 PM MDT","10","8"
"2020/10/18 4:44:02 PM MDT","5","7"
"2020/10/18 8:02:08 PM MDT","4","7"
"2020/10/18 8:22:35 PM MDT","6","6"