outcome,error
9.96,FALSE
9.98,FALSE
10.3,FALSE
10.3,FALSE
10.3,FALSE
10.4,FALSE
10.5,FALSE
10.5,FALSE
10.6,FALSE
10.6,FALSE
10.7,FALSE
10.7,FALSE
10.7,FALSE
10.8,FALSE
10.8,FALSE
10.8,FALSE
10.9,FALSE
10.9,FALSE
10.9,FALSE
10.9,FALSE
11,FALSE
11,FALSE
11,FALSE
11.1,FALSE
11.2,FALSE
11.2,FALSE
11.3,FALSE
11.4,FALSE
11.4,FALSE
11.4,FALSE
11.4,FALSE
11.4,FALSE
11.6,FALSE
11.6,FALSE
11.7,FALSE
11.7,FALSE
11.7,FALSE
11.7,FALSE
11.8,FALSE
11.8,FALSE
11.8,FALSE
11.8,FALSE
11.9,FALSE
12,FALSE
12.1,FALSE
12.2,FALSE
12.4,FALSE
12.5,FALSE
12.5,FALSE
12.8,FALSE
13,FALSE
13,FALSE
13.2,FALSE
13.3,FALSE
13.4,FALSE
13.4,FALSE
14.2,FALSE
14.2,FALSE
14.3,FALSE
14.5,FALSE
14.5,FALSE
14.6,FALSE
14.6,FALSE
14.6,FALSE
14.8,FALSE
14.9,FALSE
15,FALSE
15.4,FALSE
15.4,FALSE
15.4,FALSE
15.5,FALSE
15.6,FALSE
15.7,FALSE
15.8,FALSE
15.8,FALSE
15.8,FALSE
15.9,FALSE
16.4,FALSE
16.5,FALSE
16.8,FALSE
17.1,FALSE
17.1,FALSE
17.2,FALSE
17.3,FALSE
17.4,FALSE
17.5,FALSE
17.7,FALSE
18,FALSE
18,FALSE
18.3,FALSE
18.4,FALSE
18.5,FALSE
18.6,FALSE
18.9,FALSE
19,FALSE
19.1,FALSE
19.7,FALSE
20,FALSE
20.5,FALSE
20.8,FALSE
20.9,FALSE
21,FALSE
21.1,FALSE
21.7,FALSE
22.1,FALSE
22.1,FALSE
22.8,FALSE
22.9,FALSE
23,FALSE
23.8,FALSE
23.9,FALSE
23.9,FALSE
24.2,FALSE
24.4,FALSE
24.4,FALSE
24.9,FALSE
25.2,FALSE
26.7,FALSE
26.7,FALSE
27,FALSE
27.9,FALSE
28.3,FALSE
29,FALSE
29.2,FALSE
29.8,FALSE
30,FALSE
30.4,FALSE
30.7,FALSE
31.4,FALSE
31.5,FALSE
31.6,FALSE
32,FALSE
32.2,FALSE
32.2,FALSE
32.4,FALSE
32.6,FALSE
32.6,FALSE
32.9,FALSE
33.4,FALSE
33.7,FALSE
33.7,FALSE
34.3,FALSE
34.3,FALSE
34.4,FALSE
34.5,FALSE
34.8,FALSE
35.1,FALSE
35.8,FALSE
35.9,FALSE
36,FALSE
36.2,FALSE
37.3,FALSE
37.9,FALSE
38.6,FALSE
38.7,FALSE
39.3,FALSE
39.3,FALSE
39.5,FALSE
39.7,FALSE
39.8,FALSE
39.9,FALSE
39.9,FALSE
40.2,FALSE
40.4,FALSE
40.6,FALSE
40.7,FALSE
41.3,FALSE
41.7,FALSE
41.9,FALSE
42.2,FALSE
42.5,FALSE
42.5,FALSE
43.1,FALSE
43.6,FALSE
43.8,FALSE
43.9,FALSE
44,FALSE
44.6,FALSE
44.9,FALSE
45.2,FALSE
45.4,FALSE
46.2,FALSE
46.6,FALSE
47.8,FALSE
48.2,FALSE
48.5,FALSE
48.5,FALSE
49.9,FALSE
49.9,FALSE
50.1,FALSE
50.2,FALSE
50.2,FALSE
50.4,FALSE
50.6,FALSE
51.2,FALSE
51.8,FALSE
52.1,FALSE
52.4,FALSE
52.8,FALSE
53.6,FALSE
54,FALSE
54.5,FALSE
55.6,FALSE
56.1,FALSE
56.8,FALSE
57.1,FALSE
57.5,FALSE
58,FALSE
58.1,FALSE
58.3,FALSE
59.1,FALSE
59.2,FALSE
60.6,FALSE
60.8,FALSE
61.7,FALSE
62.4,FALSE
63.1,FALSE
63.3,FALSE
63.5,FALSE
63.8,FALSE
65.4,FALSE
65.8,FALSE
66,FALSE
66.5,FALSE
66.6,FALSE
66.6,FALSE
67.7,FALSE
69.6,FALSE
71.5,FALSE
72.1,FALSE
72.2,FALSE
72.2,FALSE
72.2,FALSE
72.4,FALSE
74.4,FALSE
75,FALSE
75.1,FALSE
76,FALSE
76.3,FALSE
76.6,FALSE
77.6,FALSE
77.7,FALSE
77.8,FALSE
77.8,FALSE
78.2,FALSE
78.4,FALSE
78.7,FALSE
79.3,FALSE
79.5,FALSE
80.5,FALSE
80.8,FALSE
80.9,FALSE
81,FALSE
81.4,FALSE
81.6,FALSE
82.2,FALSE
82.2,FALSE
82.4,FALSE
82.6,FALSE
83.3,FALSE
83.6,FALSE
83.9,FALSE
83.9,FALSE
84.1,FALSE
84.1,FALSE
84.1,FALSE
84.3,FALSE
84.4,FALSE
84.7,FALSE
84.9,FALSE
85,FALSE
86.1,FALSE
86.3,FALSE
86.4,FALSE
86.6,FALSE
86.7,FALSE
87.5,FALSE
87.7,FALSE
88.4,FALSE
88.7,FALSE
88.9,FALSE
89.4,FALSE
89.6,FALSE
89.6,FALSE
89.9,FALSE
89.9,FALSE
90,FALSE
90.1,FALSE
90.1,FALSE
90.3,FALSE
90.3,FALSE
90.4,FALSE
90.6,FALSE
90.6,FALSE
91,FALSE
91.3,FALSE
92.7,FALSE
93.4,FALSE
93.5,FALSE
93.6,FALSE
93.9,FALSE
93.9,FALSE
94.2,FALSE
94.5,FALSE
94.5,FALSE
94.6,FALSE
95.2,FALSE
95.4,FALSE
95.5,FALSE
96.2,FALSE
96.9,FALSE
97,FALSE
97.4,FALSE
97.9,FALSE
98.2,FALSE
98.6,FALSE
98.8,FALSE
99.1,FALSE
99.2,FALSE
99.5,FALSE
100,FALSE
101,FALSE
101,FALSE
102,FALSE
102,FALSE
102,FALSE
102,FALSE
102,FALSE
102,FALSE
102,FALSE
102,FALSE
102,FALSE
103,FALSE
103,FALSE
103,FALSE
103,FALSE
103,FALSE
104,FALSE
104,FALSE
104,FALSE
104,FALSE
104,FALSE
105,FALSE
106,FALSE
106,FALSE
106,FALSE
107,FALSE
107,FALSE
107,FALSE
107,FALSE
107,FALSE
107,FALSE
108,FALSE
108,FALSE
108,FALSE
108,FALSE
108,FALSE
108,FALSE
108,FALSE
108,FALSE
109,FALSE
110,FALSE
110,FALSE
110,FALSE
110,FALSE
111,FALSE
111,FALSE
111,FALSE
111,FALSE
111,FALSE
112,FALSE
112,FALSE
112,FALSE
112,FALSE
112,FALSE
113,FALSE
113,FALSE
113,FALSE
114,FALSE
114,FALSE
115,FALSE
115,FALSE
116,FALSE
116,FALSE
116,FALSE
116,FALSE
116,FALSE
116,FALSE
117,FALSE
117,FALSE
118,FALSE
118,FALSE
119,FALSE
119,FALSE
119,FALSE
120,FALSE
120,FALSE
120,FALSE
120,FALSE
120,FALSE
121,FALSE
121,FALSE
121,FALSE
121,FALSE
123,FALSE
123,FALSE
124,FALSE
124,FALSE
124,FALSE
125,FALSE
125,FALSE
125,FALSE
126,FALSE
126,FALSE
126,FALSE
127,FALSE
128,FALSE
129,FALSE
129,FALSE
129,FALSE
130,FALSE
130,FALSE
131,FALSE
131,FALSE
131,FALSE
132,FALSE
132,FALSE
135,FALSE
136,FALSE
138,FALSE
138,FALSE
139,FALSE
141,FALSE
141,FALSE
141,FALSE
143,FALSE
143,FALSE
144,FALSE
145,FALSE
147,FALSE
148,FALSE
149,FALSE
150,FALSE
151,FALSE
153,FALSE
155,FALSE
156,FALSE
158,FALSE
158,FALSE
160,FALSE
160,FALSE
160,FALSE
162,FALSE
164,FALSE
164,FALSE
165,FALSE
165,FALSE
167,FALSE
168,FALSE
168,FALSE
168,FALSE
169,FALSE
170,FALSE
173,FALSE
174,FALSE
184,FALSE
184,FALSE
188,FALSE
191,FALSE
192,FALSE
193,FALSE
193,FALSE
197,FALSE
198,FALSE
199,FALSE
203,FALSE
203,FALSE
207,FALSE
208,FALSE
210,FALSE
213,FALSE
220,FALSE
242,FALSE
257,FALSE
275,FALSE
298,FALSE
101,TRUE
102,TRUE
103,TRUE
104,TRUE
106,TRUE
107,TRUE
109,TRUE
110,TRUE
110,TRUE
113,TRUE
113,TRUE
113,TRUE
114,TRUE
114,TRUE
115,TRUE
115,TRUE
121,TRUE
121,TRUE
123,TRUE
125,TRUE
126,TRUE
126,TRUE
127,TRUE
127,TRUE
128,TRUE
132,TRUE
132,TRUE
134,TRUE
134,TRUE
135,TRUE
136,TRUE
137,TRUE
137,TRUE
141,TRUE
145,TRUE
146,TRUE
146,TRUE
148,TRUE
152,TRUE
155,TRUE
155,TRUE
155,TRUE
161,TRUE
167,TRUE
171,TRUE
175,TRUE
175,TRUE
182,TRUE
183,TRUE
185,TRUE
187,TRUE
187,TRUE
189,TRUE
190,TRUE
201,TRUE
208,TRUE
208,TRUE
215,TRUE
218,TRUE
253,TRUE
